시도,주차장명,주차장유형(노상/노외/부설),주소,위도,경도,관리기관,전화번호(주차장관리자),추가 연락처,20.1.24.(금) 개방시작시간,20.1.24.(금) 개방종료시간,20.1.25.(토) 개방시작시간,20.1.25.(토) 개방종료시간,20.1.26.(일) 개방시작시간,20.1.26.(일) 개방종료시간,20.1.27.(월) 개방시작시간,20.1.27.(월) 개방종료시간,특이사항,종일개방여부
부산광역시,정관도서관,부설,부산광역시 기장군 정관면 정관중앙로 100,35.325346,129.181939,정관도서관,051-709-3934,,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,22시부터 익일7시까지 주차불가,종일개방
부산광역시,정관읍사무소,부설,부산광역시 기장군 정관읍 용수로 4,35.325828,129.180131,정관읍사무소,051-709-5241,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,정관보건지소,부설,부산광역시 기장군 정관읍 용수로 4,35.325828,129.180131,정관보건지소,051-709-5241,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,실로암공원묘지,부설,부산광역시 기장군 철마면 고촌리 산95-10,35.250625,129.157274,실로암공원묘지,051-722-5115,,7:30,19:00,7:30,19:00,7:30,19:00,7:30,19:00,공원묘지참배객에한해서만 개방,종일개방
부산광역시,철마면사무소,부설,부산광역시 기장군 철마면 철마로 485,35.274999,129.149848,철마면사무소,051-709-5271,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,철마체육공원,부설,부산광역시 기장군 철마면 철마로 543,35.272723,129.155092,철마체육공원,051-792-4820,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,남구청,부설,부산광역시 남구 못골로 19(대연동),35.136417,129.084019,부산광역시 남구청,051-607-4222,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,남부교육지원청,부설,부산광역시 남구 못골로 29(대연동),35.136107,129.085749,남부교육지원청,051-640-0315,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,남구노인복지관,부설,부산광역시 남구 못골로 97-10(대연동),35.136246,129.093235,남구노인복지관,051-628-1291,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,나사함복지관,부설,부산광역시 남구 못골번영로 70(대연동),35.141429,129.089037,나사함복지관,051-627-8521,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,남구국민체육센터,부설,부산광역시 남구 백운포로 110(용호동),35.103648,129.108372,남구청 시설관리사업소,051-607-4931,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,감만종합사회복지관,부설,부산광역시 남구 우암로 84-1(감만동),35.118568,129.081327,감만종합사회복지관,051-634-3415,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,부산문화회관,부설,부산광역시 남구 유엔평화로76번길 1(대연동),35.127166,129.093504,(재)부산문화회관,051-607-6114,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,종일개방
부산광역시,남구장애인복지관,부설,부산광역시 남구 조각공원로11번길 38(대연동),35.129323,129.099166,남구장애인복지관,051-626-6990,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,남부경찰서,부설,부산광역시 남구 황령대로319번가길 81(대연동),35.153205,129.089559,부산남부경찰서,051-610-8370,051-610-8324 ,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,정문으로만 차량출입 가능,종일개방
부산광역시,동구청 부설주차장,부설,부산광역시 동구 구청로 1,35.129146,129.14562,부산광역시 동구청,051-440-4161,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,수정2동제3공영주차장,노외,부산광역시 동구 수정동 823-22번지,35.128957,129.044719,부산광역시 동구청,051-440-4745,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,18:00,,종일개방
부산광역시,부산진세무서,부설,부산광역시 동구 진성로 23,35.130298,129.146779,부산진세무서,051-461-9241,,9:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,18:00,1층만 개방,종일개방
부산광역시,부산지방국토관리청,부설,부산광역시 동구 초량중로 67,35.117858,129.03847,부산지방국토관리청,051-660-1023,,9:00,23:00,6:00,23:00,6:00,23:00,6:00,23:00,23시부터 익일06시까지 주차불가,부분개방
부산광역시,보건소,부설,부산광역시 동래구 명륜로187번길 56,35.211393,129.079868,부산광역시 동래구 보건소,051-550-6711,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,안락1동 행정복지센터,부설,부산광역시 동래구 안연로 110번길9,35.197038,129.098591,부산광역시 동래구 안락1동,051-550-6508,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,안락2동 행정복지센터,부설,부산광역시 동래구 명안로18번길 103(안락동),35.197715,129.110083,부산광역시 동래구 안락2동,051-550-6529,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,명장1동 행정복지센터,부설,부산광역시 동래구 명장로32,35.204857,129.104304,부산광역시 동래구 명장1동,051-550-6541,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,부산진구청,부설,부산광역시 부산진구 시민공원로 30,35.163235,129.052943,부산진구청,051-605-4166,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,부산진구국민체육센터,부설,부산광역시 부산진구 진남로328번길 35,35.155264,129.073714,부산진구국민체육센터,051-710-7628,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,부전역공영주차장,노외,부산광역시 부산진구 부전동 46번지,35.163541,129.061813,부전마켓타운상인회,051-818-7009,,유료,유료,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,25일-27일(3일간 무료개방),종일개방
부산광역시,화명1동주민센터,부설,부산광역시 북구 금곡대로 274(화명동),35.232732,129.013799,화명1동주민센터,051-309-6308,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 24시간 무료개방",종일개방
부산광역시,북구 보건소,부설,부산광역시 북구 금곡대로 348(화명동),35.23923,129.014749,북구 보건소,051-309-7022,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 25시간 무료개방",종일개방
부산광역시,금곡동주민센터,부설,부산광역시 북구 금곡대로 466(금곡동),35.250074,129.012812,금곡동주민센터,051-309-6264,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 26시간 무료개방",종일개방
부산광역시,북구청,부설,부산광역시 북구 낙동대로1570번길 33(구포동),35.197222,128.990302,부산광역시 북구청,051-309-4151,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 27시간 무료개방",종일개방
부산광역시,구포1동주민센터,부설,부산광역시 북구 낙동대로1762번길 75(구포동),35.206462,129.001116,구포1동주민센터,051-309-6201,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 28시간 무료개방",종일개방
부산광역시,덕천3동주민센터,부설,부산광역시 북구 덕천로 118(덕천동),35.210006,129.017614,덕천3동주민센터,051-309-6401,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 29시간 무료개방",종일개방
부산광역시,만덕2동주민센터,부설,부산광역시 북구 만덕2로44번길 10(만덕동),35.21019,129.037222,만덕2동주민센터,051-309-6441,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 30시간 무료개방",종일개방
부산광역시,덕천1동주민센터,부설,부산광역시 북구 만덕대로102번가길 11(덕천동),35.212354,129.016665,덕천1동주민센터,051-309-6082,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 31시간 무료개방",종일개방
부산광역시,구포3동주민센터,부설,부산광역시 북구 시랑로118번길 23(구포동),35.194858,129.008853,구포3동주민센터,051-309-6242,,18:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 32시간 무료개방",종일개방
부산광역시,화명2동주민센터,부설,부산광역시 북구 양달로 58(화명동),35.243504,129.019881,화명2동주민센터,051-309-6321,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 33시간 무료개방",종일개방
부산광역시,국민체육센터,부설,부산광역시 북구 화명대로94번길 83(화명동),35.230775,129.017435,국민체육센터,051-365-7070,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 34시간 무료개방",종일개방
부산광역시,화명3동주민센터,부설,부산광역시 북구 화명신도시로 85(화명동),35.231753,129.010011,화명3동주민센터,051-309-6341,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 35시간 무료개방",종일개방
부산광역시,문화빙상센터,부설,부산광역시 북구 금곡대로 46번길 50(덕천동),35.214584,129.005563,문화빙상센터,051-309-4081,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 36시간 무료개방",종일개방
부산광역시,디지털도서관,부설,부산광역시 북구 은행나무로26(만덕동),35.20735,129.037668,디지털도서관,051-341-1932,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 37시간 무료개방",종일개방
부산광역시,화명도서관,부설,부산광역시 북구 화명대로12번길 59(화명동),35.232218,129.009195,화명도서관,051-309-6481,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 38시간 무료개방",종일개방
부산광역시,금곡도서관,부설,부산광역시 북구 효열로203번길 34(금곡동),35.263114,129.016655,금곡도서관,051-309-6181,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 39시간 무료개방",종일개방
부산광역시,기후변화체험교육관,부설,부산광역시 북구 학사로118(화명동),35.232811,129.008102,기후변화체험교육관,051-309-6291,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 40시간 무료개방",종일개방
부산광역시,구포2동공영주차장,노외,부산광역시 북구 구포동 986-3번지,35.201723,128.99949,북구 교통행정과,051-309-4502,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 40시간 무료개방",종일개방
부산광역시,만덕동심공원공영주차장,노외,부산광역시 북구 만덕동 872-3번지,35.209008,129.038825,북구 교통행정과,051-309-4502,,18:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"연휴전일 근무 종료 후 야간시간 무료개방, 연휴기간중 40시간 무료개방",종일개방
부산광역시,해표사료주변,노상,부산광역시 사상구 감전동 127-1 일원,35.157672,128.975546,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,감전시장주변,노상,부산광역시 사상구 감전동 132-7 일원,35.155461,128.984707,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,감전중천주변,노상,부산광역시 사상구 감전동 150-1 일원,35.154437,128.977133,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,감전중고차시장주변,노상,부산광역시 사상구 감전동 156-1 일원,35.151351,128.988535,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,위생처리장주변,노상,부산광역시 사상구 감전동 509-11 일원,35.136526,128.968289,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,한국강관주변,노상,부산광역시 사상구 감전동 949-7 일원,35.147937,128.972883,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,파라곤호텔주변,노상,부산광역시 사상구 괘법동 565-6 일원,35.161401,128.981813,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,사상초등학교주변,노상,부산광역시 사상구 덕포동 752-3 일원,35.167981,128.984311,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,모라1동주민센터주변,노상,부산광역시 사상구 모라동 1345-6 일원,35.191521,128.991559,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,삼락재첩거리주변,노상,부산광역시 사상구 삼락동 70-21 일원,35.193699,128.985831,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,엄궁외식1번가주변,노상,부산광역시 사상구 엄궁동 652-7 일원,35.12681,128.967068,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,동신운수옆복개공영주차장,노상,부산광역시 사상구 주례동 1160-53 일원,35.149292,128.997654,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,동서고가도로밑주변,노상,부산광역시 사상구 주례동 394 일원,35.152756,129.002789,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,주례역공영주차장,노상,부산광역시 사상구 주례동 506 일원,35.150315,129.004071,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,주례오거리공영주차장,노상,부산광역시 사상구 주례동 743-2 일원,35.151116,129.000506,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,학장지구대주변,노상,부산광역시 사상구 학장동 242-1 일원,35.143834,128.982063,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,사상전화국주변,노상,부산광역시 사상구 학장동 281-9 일원,35.147205,128.991521,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,학장동주민센터주변,노상,부산광역시 사상구 학장동 386-1 일원,35.14437,128.987301,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,신일금속주변,노상,부산광역시 사상구 학장동 723-1 일원,35.147262,128.978954,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,동영공업주변,노상,부산광역시 사상구 학장동 748-1 일원,35.140968,128.974797,사상구청 교통행정과,051-310-4515,,8:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,사하구국민체육센터,부설,부산광역시 사하구 감천1동 702-1,35.0894307,128.9988474,사하구국민체육센터,051-202-3800,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,감천2동 행정복지센터,부설,부산광역시 사하구 감천동 12-9,35.094557,129.0094067,감천2동주민센터,051-220-5451,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,감천제일교회,부설,부산광역시 사하구 감천동 12-121,35.094026,129.009182,감천제일교회,051-294-1595,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,26일(일요일) 미개방,종일개방
부산광역시,감천교회,부설,부산광역시 사하구 감천동 30-9,35.0883422,129.0068616,감천교회,051-292-4343,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,26일(일요일) 미개방,종일개방
부산광역시,감천1동 행정복지센터,부설,부산광역시 사하구 감천동 479-4,35.0880368,129.0046722,감천1동주민센터,051-220-5421,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,남정교회,부설,부산광역시 사하구 괴정동 199-8,35.105582,129.004846,남정교회,051-203-1291,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,26일(일요일) 미개방,종일개방
부산광역시,괴정2동 행정복지센터,부설,부산광역시 사하구 괴정동 354-22,35.1034009,129.0040469,괴정2동주민센터,051-220-5036,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,성현교회,부설,부산광역시 사하구 괴정동 377-2,35.100807,129.003157,성현교회,070-7163-9338,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,26일(일요일) 미개방,종일개방
부산광역시,괴정3동 행정복지센터,부설,부산광역시 사하구 괴정동 404-2,35.1003239,128.9981116,괴정3동주민센터,051-220-5061,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,괴정4동 행정복지센터,부설,부산광역시 사하구 괴정동 571-2,35.0991434,128.9831775,괴정4동주민센터,051-220-5091,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,괴정1동 행정복지센터,부설,부산광역시 사하구 괴정동 820-3,35.0997238,128.989389,괴정1동주민센터,051-220-5001,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,구평동 행정복지센터,부설,부산광역시 사하구 구평동 159-1,35.0818552,128.9878552,구평동주민센터,051-220-5391,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,다대2동 행정복지센터,부설,부산광역시 사하구 다대동 120-35,35.063434,128.982223,다대2동 행정복지센터,051-220-5361,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,다대중앙교회,부설,부산광역시 사하구 다대로 595,35.0533139,128.9712319,다대중앙교회,051-261-1496,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,26일(일요일) 미개방,종일개방
부산광역시,사하구청,부설,부산광역시 사하구 당리동 317-16,35.1043965,128.9749537,사하구청,051-220-4154,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,당리동 행정복지센터,부설,부산광역시 사하구 당리동 321-9,35.102924,128.9766966,당리동주민센터,051-220-5121,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,강동병원,부설,부산광역시 사하구 신평1동 69,35.0896073,128.9781806,강동병원,051-209-1100,,20:00,익일09:00,20:00,익일09:00,20:00,익일09:00,20:00,익일09:00,영업시간(09:00 ~ 20:00) 외 주차가능(영업시간 내 이동조치),종일개방
부산광역시,신평2동 행정복지센터,부설,부산광역시 사하구 신평동 647-1,35.0946737,128.9595033,신평2동주민센터,051-220-5211,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,장림1동 행정복지센터,부설,부산광역시 사하구 장림동 1140,35.0829924,128.9668748,장림1동주민센터,051-220-5271,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
