"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치년도,배관깊이,출수압력,배관지름,관할소방서명,관할소방서전화번호,데이터기준일자
"대곡3호",01,경상남도,진주시,48170,경상남도 진주시 남강로 2438번길 54,,35.26171673,128.168358,대곡주유소 앞,상대안전센터,N,Y,1989,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡4호",01,경상남도,진주시,48170,경상남도 진주시 남강로 2438번길 19,,35.26095354,128.164861,근대화슈퍼 건너편 도로옆,상대안전센터,N,Y,1990,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡6호",01,경상남도,진주시,48170,경상남도 진주시 대화로 68번지,,35.259506,128.184302,농공단지내 한일식품 정문 앞,상대안전센터,N,Y,1998,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡5호",01,경상남도,진주시,48170,경상남도 진주시 대화로 47,,35.2582067,128.183024,농공단지내 와룡정 식당(구.대곡농공식당) 앞,상대안전센터,N,Y,1998,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡7호",01,경상남도,진주시,48170,경상남도 진주시 대화로 32번지,,35.256586,128.183428,농공단지내 일광금속 앞,상대안전센터,Y,Y,1999,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡9호",01,경상남도,진주시,48170,경상남도 진주시 대곡면 오방로 6,,35.2550609,128.149462,단목삼거리 주변,상대안전센터,Y,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"반성32호",01,경상남도,진주시,48170,경상남도 진주시 지수면 용봉로 292번길 97,,35.2479668,128.244655,용봉마을 회관 맞은편,문산안전센터,N,Y,2012,1,3,100,진주소방서,055-760-9296,2019-04-30
"반성31호",01,경상남도,진주시,48170,경상남도 진주시 지수면 용봉로 292번길 20,,35.2423799,128.248572,압현마을 앞,문산안전센터,N,Y,2012,1,3,100,진주소방서,055-760-9296,2019-04-30
"반성33호",01,경상남도,진주시,48170,경상남도 진주시 지수면 용봉로 328,,35.2416732,128.2432397,옷점이마을,문산안전센터,N,Y,2012,1,3,100,진주소방서,055-760-9296,2019-04-30
"집현2호",01,경상남도,진주시,48170,경상남도 진주시 진산로 697,,35.23930051,128.086611,집현면사무소 입구 게시판 옆,상대안전센터,N,Y,2008,1,3,100,진주소방서,055-760-9296,2019-04-30
"집현1호",01,경상남도,진주시,48170,경상남도 진주시 진산로,,35.238861,128.090361,금빛현대아파트 입구,상대안전센터,N,Y,2007,1,3,100,진주소방서,055-760-9296,2019-04-30
"반성20호",01,경상남도,진주시,48170,경상남도 진주시 지수면 지수로 483,,35.2351393,128.269339,지수면사무소,문산안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
2-115,01,경상남도,진주시,48170,경상남도 진주시 한들길 48,,35.233021,127.9605706,대평농협 앞,평거안전센터,N,Y,2007,1,3,100,진주소방서,055-760-9296,2019-04-30
2-116,01,경상남도,진주시,48170,경상남도 진주시 한들길 32,,35.23162445,127.9610287,대평길림성 앞,평거안전센터,N,Y,2007,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡8호",01,경상남도,진주시,48170,경상남도 진주시 마진한실로597,,35.23735389,128.2241147,한실마을 마을회관 앞,상대안전센터,N,Y,2014,1,3,100,진주소방서,055-760-9296,2019-04-30
2-120,01,경상남도,진주시,48170,경상남도 진주시 광제산로 37,,35.21976489,128.0402096,명석면사무소 앞,평거안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산5호",01,경상남도,진주시,48170,경상남도 진주시 금산면 중천로 67번길 5,,35.2188788,128.144424,화광비발디아파트,문산안전센터,N,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산6호",01,경상남도,진주시,48170,경상남도 진주시 금산면 중천로 79,,35.2179255,128.146081,금산빌딩,문산안전센터,N,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
5-059,02,경상남도,진주시,48170,경상남도 진주시 진산로 361,,35.2177183,128.100694,경남예술고 앞 삼거리(장재건강원 옆),상대안전센터,N,Y,1992,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산4호",01,경상남도,진주시,48170,경상남도 진주시 금산면 중천로 39,,35.21745092,128.142156,해오름동물병원 앞,문산안전센터,N,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산3호",01,경상남도,진주시,48170,경상남도 진주시 금산면 중천로 25,,35.21684727,128.1411561,진주우편집중국,문산안전센터,N,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산7호",01,경상남도,진주시,48170,경상남도 진주시 금산면 금산순환로 26,,35.21657933,128.147371,금산농협주유소 맞은편,문산안전센터,N,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산8호",01,경상남도,진주시,48170,경상남도 진주시 금산면 금산순환로 11번길 31,,35.216592,128.143891,강남학원 옆,문산안전센터,Y,Y,2006,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전16",01,경상남도,진주시,48170,경상남도 진주시 진산로 322번길 66,,35.2153872,128.1100721,초원유치원 앞,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
2-098,01,경상남도,진주시,48170,경상남도 진주시 나불로 277,,35.21572463,128.041331,명석삼거리 앞,평거안전센터,N,Y,1998,1,3,100,진주소방서,055-760-9296,2019-04-30
5-081,01,경상남도,진주시,48170,경상남도 진주시 초장로 14번길 29,,35.20783249,128.1119116,푸르지오 2단지 북편 초원유치원 가는 시멘트도로입구,상대안전센터,Y,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산2호",01,경상남도,진주시,48170,경상남도 진주시 금산면 중천로 9,,35.21503586,128.140977,달그락진주금산점,문산안전센터,Y,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산9호",01,경상남도,진주시,48170,경상남도 진주시 금산면 금산순환로 5,,35.21503041,128.1457213,금산농협 옆,문산안전센터,N,Y,2006,1,3,100,진주소방서,055-760-9296,2019-04-30
5-076,01,경상남도,진주시,48170,경상남도 진주시 월아산로 2026,,35.2146996,128.122917,진주의료원 앞,상대안전센터,N,Y,2007,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전8",01,경상남도,진주시,48170,경상남도 진주시 초북로 55,,35.2103252,128.1116008,해모로 206동 남편,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전7",01,경상남도,진주시,48170,경상남도 진주시 초북로 55,,35.2103252,128.1116008,해모로 208동 앞,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전17",01,경상남도,진주시,48170,경상남도 진주시 대신로 614,,35.2154531,128.1147745,명신고 건너,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전9",01,경상남도,진주시,48170,경상남도 진주시 초북로 77,,35.2131719,128.1084502,엠코 306동 건너 장재초등학교 주차장 입구,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"금산1호",01,경상남도,진주시,48170,경상남도 진주시 금산면 금산로 48,,35.21388207,128.141756,금산교회,문산안전센터,Y,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전6",01,경상남도,진주시,48170,경상남도 진주시 초북로 77,,35.2131719,128.1084502,엠코 정문 건너,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전10",01,경상남도,진주시,48170,경상남도 진주시 초북로 46,,35.21257382,128.1114622,MG새마을금고 앞,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전5",01,경상남도,진주시,48170,경상남도 진주시 초북로 77,,35.2131719,128.1084502,엠코 1단지 남쪽 횡단보도 앞,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전13",01,경상남도,진주시,48170,경상남도 진주시 초북로 77,,35.2131719,128.1084502,엠코 303동 남쪽,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"반성34호",01,경상남도,진주시,48170,경상남도 진주시 사봉면 용봉로 329,,35.212343,128.310039,화광마을 입구,문산안전센터,Y,Y,2013,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전1",01,경상남도,진주시,48170,경상남도 진주시 초북로 20번길 6,,35.21219972,128.1133329,놀부돼지부대찌개 앞 인도,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전4",01,경상남도,진주시,48170,경상남도 진주시 초북로 77,,35.2131719,128.1084502,엠코타운 301동 앞,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전3",01,경상남도,진주시,48170,경상남도 진주시 초북로 55,,35.2103252,128.1116008,해모로 408동 앞,상대안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전18",01,경상남도,진주시,48170,경상남도 진주시 초북로,,35.212115,128.111299,삼성교통 건너,상대안전센터,Y,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전14",01,경상남도,진주시,48170,경상남도 진주시 초북로 55,,35.2103252,128.1116008,해모로 406동 앞,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
5-034,01,경상남도,진주시,48170,경상남도 진주시 대신로 570,,35.2109138,128.1173185,제일교회 입구,상대안전센터,N,Y,1993,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전11",01,경상남도,진주시,48170,경상남도 진주시 초장로120,,35.210194,128.111935,이지더원 남동쪽,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전19",01,경상남도,진주시,48170,경상남도 진주시 초전북로 61번길 18,,35.209868,128.110725,이지더원505동 앞,상대안전센터,Y,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전12",01,경상남도,진주시,48170,경상남도 진주시 초장로120,,35.209641,128.109618,이지더원 남쪽,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
4-084,01,경상남도,진주시,48170,경상남도 진주시 초전북로 151,,35.2093041,128.1234394,김창현 카 서비스 앞,상대안전센터,Y,Y,1984,1,3,100,진주소방서,055-760-9296,2019-04-30
5-033,01,경상남도,진주시,48170,경상남도 진주시 대신로 570,,35.2109138,128.1173185,삼성교통 입구,상대안전센터,N,Y,1993,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전21",01,경상남도,진주시,48170,경상남도 진주시 초전북로 61번길 34-17,,35.2119364,128.1149151,농업기술원삼거리,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
5-082,01,경상남도,진주시,48170,경상남도 진주시 초전북로 88,,35.2083635,128.116573,일동아파트 진입로 (심천24시사우나 앞),상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전15",01,경상남도,진주시,48170,경상남도 진주시 초전북로39번길 5-18,,35.20870758,128.1100522,초전교회  앞,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
5-035,01,경상남도,진주시,48170,경상남도 진주시 초전북로 114,,35.208334,128.119089,농업기술원 정문 앞 남쪽 사거리 신호대 옆,상대안전센터,Y,Y,1993,1,3,100,진주소방서,055-760-9296,2019-04-30
5-080,01,경상남도,진주시,48170,경상남도 진주시 초장로 14번길 29,,35.20783249,128.1119116,푸르지오 2단지 북문 정문 도로 건너편,상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전2",01,경상남도,진주시,48170,경상남도 진주시 초전북로 51번길 30,,35.21109469,128.1119648,돈순이솥뚜껑삽겹살앞,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
"초전20",01,경상남도,진주시,48170,경상남도 진주시 초전북로 20-20,,35.208031,128.109348,초전일동아파트앞,상대안전센터,N,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
5-039,01,경상남도,진주시,48170,경상남도 진주시 초전북로 20,,35.20764797,128.1096249,일동아파트 입구,상대안전센터,Y,Y,1993,1,3,100,진주소방서,055-760-9296,2019-04-30
5-087,01,경상남도,진주시,48170,경상남도 진주시 초전북로 52,,35.207412,128.113991,초전초교 후문입구 인도,상대안전센터,Y,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
5-084,01,경상남도,진주시,48170,경상남도 진주시 초전북로 52,,35.207361,128.112671,"푸르지오 2단지 204동 동편 (2,3동앞)",상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
5-083,01,경상남도,진주시,48170,경상남도 진주시 초전북로52번길 19-8,,35.2071917,128.113641,초장초등학교 신축부지 뒷길 부근(잉글리시 아이 앞),상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"반성30호",01,경상남도,진주시,48170,경상남도 진주시 지수로 98번길 12-1,,35.205905,128.2840441,거곡마을 경로당,문산안전센터,N,Y,2012,1,3,100,진주소방서,055-760-9296,2019-04-30
5-085,01,경상남도,진주시,48170,경상남도 진주시 초장로 14번길 27,,35.20376771,128.1136702,푸르지오 1단지 103동 동편 신호대,상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
5-079,01,경상남도,진주시,48170,경상남도 진주시 초장로 14번길 27,,35.20376771,128.1136702,푸르지오1단지 북문 104동 앞 인도상(1초소 정문),상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
1-028,01,경상남도,진주시,48170,경상남도 진주시 진주성로 169,,35.2050653,128.0739974,봉원중학교 정문 건너편 버스정류장 인도,중앙안전센터,Y,Y,2008,1,3,150,진주소방서,055-760-9296,2019-04-30
5-086,01,경상남도,진주시,48170,경상남도 진주시 초장로14번길 14,,35.20458106,128.114611,초장우체국뒤 인도,상대안전센터,Y,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
5-078,01,경상남도,진주시,48170,경상남도 진주시 초장로14번길 27,,35.20376771,128.1136702,푸르지오 1단지 106동 앞 인도상,상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
5-088,01,경상남도,진주시,48170,경상남도 진주시 초장로 14번길4-18,,35.2035616,128.115566,초장동 주민센터입구 할리스커피 뒤 화단,상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"문산혁신66호",01,경상남도,진주시,48170,경상남도 진주시 동진로 420,,35.180239,128.1369726,국방기술품질원,문산안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
1-114,01,경상남도,진주시,48170,경상남도 진주시 진주성로 147번길 10,,35.203162,128.073613,주공2차아파트 202동 앞 시내버스정류소 옆,중앙안전센터,N,Y,2013,1,3,150,진주소방서,055-760-9296,2019-04-30
5-073,01,경상남도,진주시,48170,경상남도 진주시 대신로 475번길 16-1,,35.2024702,128.1144169,청구아파트옆 푸른약국 앞 전봇대옆,상대안전센터,N,Y,2003,1,3,100,진주소방서,055-760-9296,2019-04-30
1-123,01,경상남도,진주시,48170,경상남도 진주시 의곡길 47,,35.20133065,128.0818546,대영슈퍼 맞은편(의곡사 입구),중앙안전센터,N,Y,2017,1,3,150,진주소방서,055-760-9296,2019-04-30
4-080,01,경상남도,진주시,48170,경상남도 진주시 대신로 457번길 12-2,,35.2015184,128.115169,호도원 호두과자 앞,상대안전센터,Y,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
1-032,02,경상남도,진주시,48170,경상남도 진주시 상봉대룡길 19,,35.2014992,128.067849,화진그린맨션 서북편 도로,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
2-089,01,경상남도,진주시,48170,경상남도 진주시 창렬로187번길 11-33,,35.20160299,128.0763767,봉황사 앞 인도상,중앙안전센터,N,Y,1995,1,3,150,진주소방서,055-760-9296,2019-04-30
2-092,01,경상남도,진주시,48170,경상남도 진주시 의병로 116번길 1-5,,35.201044,128.072686,어울림채 앞(봉원탕 뒤쪽),중앙안전센터,N,Y,2012,1,3,150,진주소방서,055-760-9296,2019-04-30
1-125,01,경상남도,진주시,48170,경상남도 진주시 의곡길 42,,35.2006862,128.082285,빌라 좌측 옆(의곡사 입구 정자나무 맞은편),중앙안전센터,N,Y,2002,1,3,150,진주소방서,055-760-9296,2019-04-30
"문산혁신61호",01,경상남도,진주시,48170,경상남도 진주시 대밭골로37번길 7-7,,35.200647,128.153052,위너스크린골프,문산안전센터,Y,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
1-027,01,경상남도,진주시,48170,경상남도 진주시 창렬로169번길 11-2,,35.200451,128.075141,금호카센터 앞(거성할인마트 옆),중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
2-091,01,경상남도,진주시,48170,경상남도 진주시 창렬로149번길 6-24,,35.200237,128.073759,주택 앞(거성할인마트 맞은편 골목 안쪽),중앙안전센터,N,Y,2011,1,3,150,진주소방서,055-760-9296,2019-04-30
1-022,01,경상남도,진주시,48170,경상남도 진주시 창렬로 187,,35.200116,128.078865,푸른재능어린이집 앞,중앙안전센터,N,Y,2018,1,3,150,진주소방서,055-760-9296,2019-04-30
1-031,01,경상남도,진주시,48170,경상남도 진주시 의병로71번길 10,,35.200054,128.067839,주택 앞(홑이불자락 옆),중앙안전센터,N,Y,2014,1,3,150,진주소방서,055-760-9296,2019-04-30
2-085,01,경상남도,진주시,48170,경상남도 진주시 의곡길30번길 6,,35.199773,128.082577,중앙동 봉수현장민원실 왼쪽 약사여래불 앞,중앙안전센터,N,Y,2015,1,3,150,진주소방서,055-760-9296,2019-04-30
1-077,02,경상남도,진주시,48170,경상남도 진주시 의병로 252,,35.1996971,128.085242,생고기의 정석 앞(삼전빌라 옆),중앙안전센터,N,Y,2013,1,3,150,진주소방서,055-760-9296,2019-04-30
4-079,01,경상남도,진주시,48170,경상남도 진주시 대신로 435,,35.19939853,128.1159867,현대주유소 건너편 도로상 펭귄한의원 앞,상대안전센터,Y,Y,1982,1,3,100,진주소방서,055-760-9296,2019-04-30
11,04,경상남도,진주시,48170,경상남도 진주시 창렬로 178,,35.19953656,128.0764505,진주카에어컨부분정비 앞(진주여고 맞은편),중앙안전센터,N,Y,1950,1,3,150,진주소방서,055-760-9296,2019-04-30
1-033,02,경상남도,진주시,48170,경상남도 진주시 의병로80번길 7,,35.199392,128.0693085,주택 옆(개별화물협회 맞은편) 도로,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
4-078,01,경상남도,진주시,48170,경상남도 진주시 대신로 431,,35.1990666,128.116021,초전현대주유소 옆 삼거리 도로상,상대안전센터,Y,Y,2017,1,3,100,진주소방서,055-760-9296,2019-04-30
1-026,01,경상남도,진주시,48170,경상남도 진주시 진주성로 110,,35.1992907,128.0755066,본안경점 앞(진주여고사거리),중앙안전센터,Y,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-076,01,경상남도,진주시,48170,경상남도 진주시 향교로27번길 15,,35.199209,128.0850202,석정건축 앞 모서리,중앙안전센터,Y,Y,2010,1,3,150,진주소방서,055-760-9296,2019-04-30
2-123,01,경상남도,진주시,48170,경상남도 진주시 덕천로 308-1,,35.19936113,127.8971371,조계마을정류소 옆,평거안전센터,N,Y,2012,1,3,100,진주소방서,055-760-9296,2019-04-30
1-078,01,경상남도,진주시,48170,경상남도 진주시 향교로 43,,35.199076,128.086615,봉래초등학교 정문 앞 횡단보도 밑(봉래문구 앞),중앙안전센터,Y,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
8,04,경상남도,진주시,48170,경상남도 진주시 향교로 43,,35.199067,128.0866146,봉래초등학교 정문 앞 횡단보도 밑(봉래문구 앞),중앙안전센터,N,Y,1966,1,3,150,진주소방서,055-760-9296,2019-04-30
1-116,01,경상남도,진주시,48170,경상남도 진주시 비봉로90번길 11,,35.198828,128.080194,삼우빌라 앞,중앙안전센터,N,Y,1994,1,3,150,진주소방서,055-760-9296,2019-04-30
1-117,01,경상남도,진주시,48170,경상남도 진주시 향교로 71,,35.19876728,128.089507,주택 앞(연꽃보살 옆),중앙안전센터,N,Y,1996,1,3,150,진주소방서,055-760-9296,2019-04-30
1-029,01,경상남도,진주시,48170,경상남도 진주시 창렬로 148,,35.198795,128.073237,복이조은집 앞,중앙안전센터,Y,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
16,04,경상남도,진주시,48170,경상남도 진주시 향교로11번길 14,,35.198769,128.083629,주택 앞(진주교회 비전관 맞은편),중앙안전센터,N,Y,1974,1,3,150,진주소방서,055-760-9296,2019-04-30
1-023,02,경상남도,진주시,48170,경상남도 진주시 비봉로85번길 14-9,,35.198749,128.077531,아라빌 앞(그린빌 맞은편),중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-024,02,경상남도,진주시,48170,경상남도 진주시 창렬로180번길 14,,35.198657,128.076842,상록페인트 앞(진주여고 맞은편 블록),중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-083,02,경상남도,진주시,48170,경상남도 진주시 의곡길8번길 14,,35.198274,128.083988,풍농제분소(자매어린이집 뒤) 앞,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-035,01,경상남도,진주시,48170,경상남도 진주시 북장대로 92,,35.1981811,128.072373,루나미용실 앞(시민탕에서 상봉주공1차아파트 가는 길),중앙안전센터,Y,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-021,01,경상남도,진주시,48170,경상남도 진주시 진주대로1108번길 13-2,,35.1981494,128.0812029,샵앤샵 앞 인도(진주중학교 정문에서 서편 50M),중앙안전센터,Y,Y,2008,1,3,150,진주소방서,055-760-9296,2019-04-30
1-030,01,경상남도,진주시,48170,경상남도 진주시 창렬로126,,35.198177,128.071114,새마을금고 앞,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-096,02,경상남도,진주시,48170,경상남도 진주시 향교로17번길 6,,35.198161,128.084469,종합건축 옆(자매어린이집 건너편 길 모퉁이),중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
10,04,경상남도,진주시,48170,경상남도 진주시 비봉로 82,,35.197996,128.079574,허약국 앞,중앙안전센터,N,Y,1974,1,3,150,진주소방서,055-760-9296,2019-04-30
1-097,02,경상남도,진주시,48170,경상남도 진주시 향교로 17-1,,35.197959,128.084626,삼화페인트 앞(송월타농 진주대리점 건너편),중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-075,01,경상남도,진주시,48170,경상남도 진주시 향교로 30,,35.197945,128.085856,육류왕 물류센터 앞(옥수탕 건너편),중앙안전센터,N,Y,2002,1,3,150,진주소방서,055-760-9296,2019-04-30
1-079,01,경상남도,진주시,48170,경상남도 진주시 옥봉길9번길 20-1,,35.197674,128.0873149,연화사 남편 주차관리소 옆 인도,중앙안전센터,N,Y,2013,1,3,150,진주소방서,055-760-9296,2019-04-30
1-093,01,경상남도,진주시,48170,경상남도 진주시 진주성로87번길 8,,35.1973735,128.075242,상봉떡방앗간 맞은편(목화참기름집 앞),중앙안전센터,Y,Y,1995,1,3,150,진주소방서,055-760-9296,2019-04-30
1-034,01,경상남도,진주시,48170,경상남도 진주시 창렬로 104,,35.197401,128.068855,진주보건대학 입구 최신컴퓨터세탁소 앞,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-036,02,경상남도,진주시,48170,경상남도 진주시 북장대로 82,,35.1972939,128.072759,시민탕옆,중앙안전센터,N,Y,2013,1,3,150,진주소방서,055-760-9296,2019-04-30
1-087,01,경상남도,진주시,48170,경상남도 진주시 향교로109번길 27,,35.1972793,128.095076,안골 끝 서영석 집 앞,중앙안전센터,Y,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-108,01,경상남도,진주시,48170,경상남도 진주시 북장대로85번길 11,,35.197288,128.071821,상봉어린이집 정문 앞,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-084,02,경상남도,진주시,48170,경상남도 진주시 향교로 97,,35.197228,128.0916269,시영아파트 맞은편 사운드온 앞,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-126,01,경상남도,진주시,48170,경상남도 진주시 장대로63번길 10-9,,35.197039,128.085633,오성상회에서 북쪽으로 약 10m 지점,중앙안전센터,N,Y,2003,1,3,150,진주소방서,055-760-9296,2019-04-30
1-073,02,경상남도,진주시,48170,경상남도 진주시 촉석로225번길 6,,35.1968504,128.086348,동아상회 앞(대신탕 부근),중앙안전센터,N,Y,2013,1,3,150,진주소방서,055-760-9296,2019-04-30
1-037,01,경상남도,진주시,48170,경상남도 진주시 북장대로 76,,35.196779,128.072962,중앙익스프레스 앞,중앙안전센터,Y,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-020,01,경상남도,진주시,48170,경상남도 진주시 진주대로1109,,35.19675228,128.081435,갤러리아백화점 주차 타워 버스승강장,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
1-086,02,경상남도,진주시,48170,경상남도 진주시 향교로109번길 17,,35.1967484,128.093865,안골 원일빌라 우측 5M 도로상,중앙안전센터,N,Y,1997,1,3,150,진주소방서,055-760-9296,2019-04-30
